5/30/2024 9:31:00 PM,4,17
5/30/2024 9:31:06 PM,2,22
5/30/2024 9:31:12 PM,3,13
5/30/2024 9:31:17 PM,4,21
5/30/2024 9:31:22 PM,4,17
5/30/2024 9:31:27 PM,4,19
5/30/2024 9:31:32 PM,4,6
5/30/2024 9:31:35 PM,3,13
5/30/2024 9:31:38 PM,3,20
5/30/2024 9:31:44 PM,3,13
5/30/2024 9:31:49 PM,4,16
5/30/2024 9:31:55 PM,1,18
5/30/2024 9:31:59 PM,3,14
5/30/2024 9:32:04 PM,1,11
5/30/2024 9:32:09 PM,4,22
5/30/2024 9:32:15 PM,4,9
5/30/2024 9:32:19 PM,1,4
5/30/2024 9:32:22 PM,3,1
5/30/2024 9:32:26 PM,1,8
5/30/2024 9:32:30 PM,3,15
5/30/2024 9:32:33 PM,4,2
5/30/2024 9:32:40 PM,1,22
5/30/2024 9:32:44 PM,4,20
5/30/2024 9:32:51 PM,1,9
5/30/2024 9:32:55 PM,1,13
5/30/2024 9:33:01 PM,2,16
5/30/2024 9:33:07 PM,2,17
5/30/2024 9:33:12 PM,2,8
5/30/2024 9:33:16 PM,2,4
5/30/2024 9:33:22 PM,2,1
5/30/2024 9:33:27 PM,1,21
5/30/2024 9:33:33 PM,2,4
5/30/2024 9:33:38 PM,3,18
5/30/2024 9:33:41 PM,2,3
5/30/2024 9:33:46 PM,1,2
5/30/2024 9:33:52 PM,4,10
5/30/2024 9:33:57 PM,2,12
5/30/2024 9:34:03 PM,3,3
5/30/2024 9:34:10 PM,3,12
5/30/2024 9:34:16 PM,3,15
5/30/2024 9:34:22 PM,3,7
5/30/2024 9:34:28 PM,3,18
5/30/2024 9:34:33 PM,2,17
5/30/2024 9:34:38 PM,2,21
5/30/2024 9:34:44 PM,3,1
5/30/2024 9:34:50 PM,4,5
5/30/2024 9:34:54 PM,3,9
5/30/2024 9:35:00 PM,1,0
5/30/2024 9:35:05 PM,4,14
5/30/2024 9:35:11 PM,1,18
5/30/2024 9:35:17 PM,3,22
5/30/2024 9:35:20 PM,1,19
5/30/2024 9:35:27 PM,3,15
5/30/2024 9:35:31 PM,2,15
5/30/2024 9:35:37 PM,1,1
5/30/2024 9:35:42 PM,3,22
5/30/2024 9:35:46 PM,2,13
5/30/2024 9:35:50 PM,2,22
5/30/2024 9:35:54 PM,1,8
5/30/2024 9:35:58 PM,2,17
5/30/2024 9:36:02 PM,3,4
5/30/2024 9:36:09 PM,4,17
5/30/2024 9:36:16 PM,4,7
5/30/2024 9:36:20 PM,4,7
5/30/2024 9:36:25 PM,4,6
5/30/2024 9:36:31 PM,1,3
5/31/2024 8:36:02 AM,3,13
5/31/2024 8:36:09 AM,4,22
5/31/2024 8:36:14 AM,3,17
5/31/2024 8:37:08 AM,3,17
5/31/2024 8:37:12 AM,2,8
5/31/2024 8:37:18 AM,4,3
5/31/2024 8:37:22 AM,3,14
5/31/2024 8:37:25 AM,4,16
6/1/2024 12:08:57 PM,4,6
6/1/2024 12:09:03 PM,1,17
6/1/2024 12:09:09 PM,2,10
6/1/2024 12:09:15 PM,3,9
6/1/2024 12:09:21 PM,4,16
6/1/2024 12:09:27 PM,4,18
6/1/2024 12:09:32 PM,3,18
6/1/2024 12:09:37 PM,4,8
6/1/2024 12:09:42 PM,1,2
6/1/2024 12:09:46 PM,4,21
6/1/2024 12:09:49 PM,1,18
6/1/2024 12:09:55 PM,3,1
6/1/2024 12:13:57 PM,2,22
6/1/2024 12:14:01 PM,1,16
6/1/2024 12:14:04 PM,1,17
6/1/2024 12:14:11 PM,1,15
6/1/2024 12:32:33 PM,1,0
6/1/2024 12:32:37 PM,1,0
6/1/2024 12:32:43 PM,2,0
6/1/2024 12:32:47 PM,2,0
6/1/2024 12:32:54 PM,2,0
6/1/2024 12:33:01 PM,2,0
6/1/2024 12:33:04 PM,1,0
